a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
202596818.32373837,0.33659965299805467,0.11365010771159027,-0.7844848571988021,5.3905489485511575,5.370325595104378
293997660.9544727,0.487269978237197,0.18021448832915965,2.1262841736367024,2.85003406277243,6.256208834282617
138252267.85213816,0.08344062040888134,0.009516214162196866,0.48367307347195704,6.135772952603409,3.30948106996555
428264018.29864377,0.7581690560783194,0.08504040131129859,1.7174158467369236,4.40450556041968,2.148607588590165
139561901.22893173,0.22423405000121546,0.20457465224898627,-2.029951491334812,2.1962989579575414,5.328954568025738
163191267.10261014,0.09627257582407604,0.20784235547763436,-0.08526126760724359,2.8041131248348403,4.07915757447935
180946215.87950593,0.19804987622044332,0.06901728202512525,1.9016298968092857,6.132244171395362,2.2984650721273514
273725250.93119556,0.5042111528817786,0.3087378489662884,-2.814311620706249,2.367335589296335,1.3829640520172175
449187782.1845395,0.6525982519441194,0.07300241346503497,-0.19163148726319892,5.444768581440242,2.9153417609929875
193280426.67091113,0.23015008216343066,0.7013507171431721,-2.652754244953577,6.095253818449567,2.162733000651805
181125001.1595472,0.1772862840227437,0.28470662184625384,-0.0640501149702109,2.827440841770642,1.532960181356846
177981064.00335544,0.2659223661237743,0.05338497156236361,-1.0061956371474972,2.005966087343202,1.6968825082813561
390802167.9938112,0.6518031907456062,0.029474923714341128,-1.761329964356145,2.594856839217634,2.4170323674680887
231991660.0493042,0.6544302293030549,0.06470708889538108,-2.7624601124761585,1.4045826263373078,0.9912834511059785
226554179.27387264,0.3851648759993637,0.0032882525592948723,-0.3249799910098269,5.485610472227941,0.11881421911569312
178195586.55619058,0.16288099501130474,0.1499133067770249,-1.1643055289388855,0.3801815675325235,5.318961993043725
169013051.12332457,0.16555598700691515,0.9572048907460604,1.9758380030163685,2.1502961044846653,3.6007432598704
461795711.46578395,0.7165900313379157,0.2409716114732868,1.5273523495961672,2.243562544051933,2.748521414849545
155736155.71584633,0.06595799013094604,0.5380677597056909,-0.7801587333457976,3.105775700053874,4.737172637101812
182526229.13506493,0.4716329567049148,0.13989982129351033,-0.8995188345823903,1.489401548379928,1.3374692518140243
142520040.66878852,0.3465531773612464,0.23040221204245048,-1.2068567225766427,5.136880286895686,4.212578727241494
262997284.16204333,0.5712768841409924,0.2915045685502439,1.7090799997525936,1.206247480844672,3.2146463453979655
266888782.81926256,0.5372363748112846,0.07899872286501598,-0.722762958196849,5.196375000020598,2.6004671504105943
118039634.43596265,0.7810571565571088,0.21186108411723287,1.2725331491160745,5.818435380624166,3.6963110505992227
219276169.15945652,0.45429900231606657,0.03842793540811344,0.509112736987232,4.352927909467812,4.6950255521809545
141923938.79717764,0.5928402262078889,0.07450497379703652,-1.364618859805014,0.9009960705591595,6.1682288389936915
387045166.5590213,0.6487334594836008,0.2543399092538527,1.8013517914949655,3.634666929120981,2.9043267953119134
306694616.913607,0.613775118799078,0.1502680018612556,-1.8176937528202484,5.152760366093337,0.73206970695861
276859671.20340335,0.5236504658629184,0.11049874765279838,0.5671305855500319,2.2635313062434044,0.2077606128136047
186311215.09106618,0.7154913336228212,0.1407725543189376,0.29249471103699476,0.9994361895389519,4.334822225166705
305622193.4455717,0.5899291907429003,0.33807430318105036,0.8428763726545847,0.9164812229904493,5.560160635629385
153175971.13621724,0.030214600827603705,0.48214437700561785,-3.0659614532830757,3.562773667209622,6.163875309434799
104182427.01013596,0.5071530085129956,0.23441444652729168,1.8234950371289735,3.4650078580654657,4.090422066414063
