"pdes","epoch_mjd","a","e","i","om","w","ma"
39796,60200,2.251,0.4678,12.92,158.95,171.00,253.46
40263,60200,1.495,0.1611,25.84,172.81,198.74,296.07
40267,60200,1.339,0.8085,34.49,148.22,211.95,141.97
40329,60200,2.266,0.4545,2.52,210.91,112.09,24.47
41429,60200,1.593,0.5553,2.17,351.91,297.22,206.75
41440,60200,1.575,0.2115,15.11,64.04,200.04,265.87
42286,60200,1.42,0.3917,24.08,55.82,150.95,235.50
48603,60200,1.918,0.4300,5.03,328.23,81.80,314.41
52340,60200,2.212,0.5474,8.08,5.26,116.33,99.09
52381,60200,1.278,0.1440,7.73,183.26,263.87,126.45
52387,60200,1.282,0.1896,24.15,297.57,195.57,72.81
52689,60200,1.562,0.2923,10.98,4.68,265.10,321.44
52750,60200,1.427,0.5247,11.17,141.32,334.14,355.62
52760,60200,2.409,0.6235,2.43,338.70,20.33,241.69
52761,60200,1.555,0.2242,19.48,258.98,350.41,18.13
52762,60200,2.417,0.6529,33.86,308.96,254.50,284.24
52768,60200,2.38,0.5755,5.88,26.94,174.60,333.83
53110,60200,1.644,0.2146,40.62,85.42,58.22,208.55
53319,60200,2.723,0.6415,13.84,133.62,166.82,140.97
53409,60200,2.101,0.6282,10.88,206.69,147.77,315.17
53426,60200,1.923,0.5383,22.77,239.07,43.35,20.20
53429,60200,2.023,0.6403,26.79,199.20,64.05,144.43
53430,60200,2.099,0.4035,60.41,241.92,156.96,320.55
53435,60200,2.311,0.4833,15.35,51.35,354.48,297.11
53550,60200,1.495,0.4197,7.18,313.20,324.91,211.63
53789,60200,1.371,0.2693,40.79,190.02,218.33,351.22
54071,60200,1.329,0.1974,23.44,36.34,128.30,135.59
54401,60200,1.711,0.2624,18.95,240.84,67.10,120.78
54509,60200,1.006,0.2301,1.60,278.20,278.98,68.60
54660,60200,1.477,0.2807,46.69,223.71,158.04,267.64
54686,60200,1.777,0.3419,33.21,161.70,265.90,240.89
54690,60200,1.63,0.2563,35.36,33.51,99.59,325.54
54789,60200,1.776,0.2873,24.46,130.07,20.00,258.93
55408,60200,1.1,0.2245,30.39,193.83,353.55,224.64
55532,60200,1.794,0.6958,38.55,81.41,132.39,330.22
65674,60200,1.664,0.3441,10.95,0.87,313.29,121.08
65679,60200,0.9149,0.2646,1.30,178.09,15.03,105.34
65690,60200,1.428,0.3633,11.14,180.12,63.31,341.27
65706,60200,2.397,0.5558,9.64,349.19,8.72,130.93
65717,60200,1.395,0.2810,2.81,174.76,290.96,225.43
65733,60200,1.154,0.4742,4.15,336.92,168.69,278.11
65803,60200,1.643,0.3833,3.41,72.99,319.58,152.70
65909,60200,1.091,0.5398,3.56,108.60,284.50,211.01
65996,60200,2.937,0.6043,9.55,265.24,57.25,5.27
66008,60200,1.426,0.3628,61.01,168.93,14.02,38.74
66063,60200,0.991,0.7200,22.69,351.85,151.16,27.01
66146,60200,0.7876,0.4838,5.41,101.99,84.89,26.61
66251,60200,1.536,0.1980,11.28,196.20,142.50,178.03
66253,60200,1.334,0.8379,19.50,157.36,261.10,347.56
66272,60200,1.508,0.1433,51.31,66.38,68.46,130.32
66391,60200,0.6424,0.6884,38.88,244.90,192.65,251.17
66400,60200,0.8554,0.5725,9.06,79.80,341.40,108.96
66407,60200,1.198,0.1201,21.77,94.99,320.51,27.18
66959,60200,2.539,0.5657,20.62,81.89,293.50,334.63
67367,60200,1.309,0.2127,9.02,264.51,184.81,345.58
67381,60200,1.321,0.5431,10.67,294.89,266.89,138.28
67399,60200,1.301,0.3463,14.69,332.86,225.33,300.67
68031,60200,1.376,0.1285,15.17,123.63,31.95,331.69
68063,60200,2.334,0.4578,5.72,308.84,50.36,197.66
68216,60200,1.32,0.3266,17.99,18.14,48.72,41.83
68267,60200,1.51,0.4273,38.83,8.01,317.44,310.68
68278,60200,1.436,0.1143,2.62,99.07,234.51,238.94
68346,60200,1.507,0.4166,16.70,219.37,140.29,280.76
68347,60200,0.9621,0.3801,17.12,245.86,243.78,294.35
68348,60200,2.155,0.8410,25.36,236.22,181.65,288.18
68350,60200,1.67,0.2474,29.57,128.85,328.50,305.88
68359,60200,1.517,0.1743,9.86,99.20,29.26,121.89
68372,60200,1.618,0.4162,8.11,252.96,322.33,326.40
68548,60200,1.707,0.4367,22.71,302.03,24.73,9.72
68950,60200,1.057,0.3442,25.15,236.21,255.58,51.78
69230,60200,1.655,0.6237,6.07,34.06,92.90,94.20
85182,60200,2.221,0.7777,3.12,339.42,243.20,300.11
85184,60200,1.374,0.1846,33.88,226.38,322.77,55.69
85236,60200,1.234,0.3111,12.81,54.36,293.84,324.92
85275,60200,1.891,0.4422,17.71,141.14,202.88,56.26
85490,60200,3.763,0.6606,2.58,247.57,94.23,221.74
85585,60200,1.298,0.3562,4.08,2.31,95.42,130.79
85628,60200,1.593,0.3315,13.03,66.74,50.56,305.80
85640,60200,1.58,0.4858,4.51,299.58,117.28,176.84
85709,60200,1.646,0.3378,24.84,186.58,29.73,75.39
85713,60200,1.924,0.6386,10.78,40.96,103.14,91.75
